"Notes","Disease","Disease Code","Year","Year Code","Race/Ethnicity","Race/Ethnicity Code","Sex","Sex Code","Age","Age Code",STD Cases,Population,Rate
,"Chlamydia","274","1998","1998","Black or African American","2054-5","Unknown","U","40+ years","40+",2,Not Applicable,Not Applicable
,"Chlamydia","274","1998","1998","Black or African American","2054-5","Unknown","U","Unknown","99",1,Not Applicable,Not Applicable
,"Chlamydia","274","1998","1998","Hispanic","Hispanic","Female","F","0-14 years","0-14",1374,4637250,29.63
,"Chlamydia","274","1998","1998","Hispanic","Hispanic","Female","F","15-19 years","15-19",21402,1354210,1580.40
,"Chlamydia","274","1998","1998","Hispanic","Hispanic","Female","F","20-24 years","20-24",19500,1372889,1420.36
,"Chlamydia","274","1998","1998","Hispanic","Hispanic","Female","F","25-29 years","25-29",8385,1411815,593.92
,"Chlamydia","274","1998","1998","Hispanic","Hispanic","Female","F","30-34 years","30-34",3326,1359590,244.63
,"Chlamydia","274","1998","1998","Hispanic","Hispanic","Female","F","35-39 years","35-39",1385,1220111,113.51
,"Chlamydia","274","1998","1998","Hispanic","Hispanic","Female","F","40+ years","40+",912,4103285,22.23
,"Chlamydia","274","1998","1998","Hispanic","Hispanic","Female","F","Unknown","99",395,Not Applicable,Not Applicable
,"Chlamydia","274","1998","1998","Hispanic","Hispanic","Male","M","0-14 years","0-14",181,4847520,3.73
,"Chlamydia","274","1998","1998","Hispanic","Hispanic","Male","M","15-19 years","15-19",3720,1532040,242.81
,"Chlamydia","274","1998","1998","Hispanic","Hispanic","Male","M","20-24 years","20-24",5148,1626325,316.54
,"Chlamydia","274","1998","1998","Hispanic","Hispanic","Male","M","25-29 years","25-29",2536,1658823,152.88
,"Chlamydia","274","1998","1998","Hispanic","Hispanic","Male","M","30-34 years","30-34",1130,1545732,73.10
,"Chlamydia","274","1998","1998","Hispanic","Hispanic","Male","M","35-39 years","35-39",530,1321670,40.10
,"Chlamydia","274","1998","1998","Hispanic","Hispanic","Male","M","40+ years","40+",329,3742089,8.79
,"Chlamydia","274","1998","1998","Hispanic","Hispanic","Male","M","Unknown","99",103,Not Applicable,Not Applicable
,"Chlamydia","274","1998","1998","Hispanic","Hispanic","Unknown","U","15-19 years","15-19",1,Not Applicable,Not Applicable
,"Chlamydia","274","1998","1998","White","2106-3","Female","F","0-14 years","0-14",2636,17448666,15.11
,"Chlamydia","274","1998","1998","White","2106-3","Female","F","15-19 years","15-19",49788,6025726,826.26
,"Chlamydia","274","1998","1998","White","2106-3","Female","F","20-24 years","20-24",35859,5451666,657.76
,"Chlamydia","274","1998","1998","White","2106-3","Female","F","25-29 years","25-29",10807,6155673,175.56
,"Chlamydia","274","1998","1998","White","2106-3","Female","F","30-34 years","30-34",3556,6726971,52.86
,"Chlamydia","274","1998","1998","White","2106-3","Female","F","35-39 years","35-39",1724,7791556,22.13
,"Chlamydia","274","1998","1998","White","2106-3","Female","F","40+ years","40+",1281,46185449,2.77
,"Chlamydia","274","1998","1998","White","2106-3","Female","F","Unknown","99",716,Not Applicable,Not Applicable
,"Chlamydia","274","1998","1998","White","2106-3","Male","M","0-14 years","0-14",177,18425144,0.96
,"Chlamydia","274","1998","1998","White","2106-3","Male","M","15-19 years","15-19",4516,6331833,71.32
,"Chlamydia","274","1998","1998","White","2106-3","Male","M","20-24 years","20-24",7265,5605334,129.61
,"Chlamydia","274","1998","1998","White","2106-3","Male","M","25-29 years","25-29",3316,6228777,53.24
,"Chlamydia","274","1998","1998","White","2106-3","Male","M","30-34 years","30-34",1614,6823246,23.65
,"Chlamydia","274","1998","1998","White","2106-3","Male","M","35-39 years","35-39",830,7836560,10.59
,"Chlamydia","274","1998","1998","White","2106-3","Male","M","40+ years","40+",874,40487300,2.16
,"Chlamydia","274","1998","1998","White","2106-3","Male","M","Unknown","99",128,Not Applicable,Not Applicable
,"Chlamydia","274","1998","1998","White","2106-3","Unknown","U","0-14 years","0-14",1,Not Applicable,Not Applicable
,"Chlamydia","274","1998","1998","White","2106-3","Unknown","U","15-19 years","15-19",4,Not Applicable,Not Applicable
,"Chlamydia","274","1998","1998","White","2106-3","Unknown","U","20-24 years","20-24",4,Not Applicable,Not Applicable
,"Chlamydia","274","1998","1998","White","2106-3","Unknown","U","25-29 years","25-29",1,Not Applicable,Not Applicable
,"Chlamydia","274","1998","1998","White","2106-3","Unknown","U","Unknown","99",2,Not Applicable,Not Applicable
,"Chlamydia","274","1999","1999","Black or African American","2054-5","Female","F","0-14 years","0-14",5837,4487412,130.07
,"Chlamydia","274","1999","1999","Black or African American","2054-5","Female","F","15-19 years","15-19",80878,1430828,5652.53
,"Chlamydia","274","1999","1999","Black or African American","2054-5","Female","F","20-24 years","20-24",61643,1299803,4742.49
,"Chlamydia","274","1999","1999","Black or African American","2054-5","Female","F","25-29 years","25-29",20019,1327016,1508.57
,"Chlamydia","274","1999","1999","Black or African American","2054-5","Female","F","30-34 years","30-34",6957,1358683,512.04
,"Chlamydia","274","1999","1999","Black or African American","2054-5","Female","F","35-39 years","35-39",2935,1468867,199.81
,"Chlamydia","274","1999","1999","Black or African American","2054-5","Female","F","40+ years","40+",1850,6412024,28.85
,"Chlamydia","274","1999","1999","Black or African American","2054-5","Female","F","Unknown","99",948,Not Applicable,Not Applicable
,"Chlamydia","274","1999","1999","Black or African American","2054-5","Male","M","0-14 years","0-14",531,4626170,11.48
,"Chlamydia","274","1999","1999","Black or African American","2054-5","Male","M","15-19 years","15-19",14591,1459491,999.73
,"Chlamydia","274","1999","1999","Black or African American","2054-5","Male","M","20-24 years","20-24",17771,1227756,1447.44
,"Chlamydia","274","1999","1999","Black or African American","2054-5","Male","M","25-29 years","25-29",8593,1195334,718.88
,"Chlamydia","274","1999","1999","Black or African American","2054-5","Male","M","30-34 years","30-34",3891,1213081,320.75
,"Chlamydia","274","1999","1999","Black or African American","2054-5","Male","M","35-39 years","35-39",2281,1296224,175.97
,"Chlamydia","274","1999","1999","Black or African American","2054-5","Male","M","40+ years","40+",2081,5033637,41.34
,"Chlamydia","274","1999","1999","Black or African American","2054-5","Male","M","Unknown","99",248,Not Applicable,Not Applicable
,"Chlamydia","274","1999","1999","Black or African American","2054-5","Unknown","U","0-14 years","0-14",3,Not Applicable,Not Applicable
,"Chlamydia","274","1999","1999","Black or African American","2054-5","Unknown","U","15-19 years","15-19",28,Not Applicable,Not Applicable
,"Chlamydia","274","1999","1999","Black or African American","2054-5","Unknown","U","20-24 years","20-24",17,Not Applicable,Not Applicable
,"Chlamydia","274","1999","1999","Black or African American","2054-5","Unknown","U","25-29 years","25-29",6,Not Applicable,Not Applicable
,"Chlamydia","274","1999","1999","Black or African American","2054-5","Unknown","U","30-34 years","30-34",2,Not Applicable,Not Applicable
,"Chlamydia","274","1999","1999","Black or African American","2054-5","Unknown","U","35-39 years","35-39",3,Not Applicable,Not Applicable
,"Chlamydia","274","1999","1999","Black or African American","2054-5","Unknown","U","Unknown","99",6,Not Applicable,Not Applicable
,"Chlamydia","274","1999","1999","Hispanic","Hispanic","Female","F","0-14 years","0-14",1497,4854374,30.84
,"Chlamydia","274","1999","1999","Hispanic","Hispanic","Female","F","15-19 years","15-19",24137,1408961,1713.11
,"Chlamydia","274","1999","1999","Hispanic","Hispanic","Female","F","20-24 years","20-24",22934,1443038,1589.29
,"Chlamydia","274","1999","1999","Hispanic","Hispanic","Female","F","25-29 years","25-29",9883,1473609,670.67
,"Chlamydia","274","1999","1999","Hispanic","Hispanic","Female","F","30-34 years","30-34",4031,1393172,289.34
,"Chlamydia","274","1999","1999","Hispanic","Hispanic","Female","F","35-39 years","35-39",1747,1276849,136.82
,"Chlamydia","274","1999","1999","Hispanic","Hispanic","Female","F","40+ years","40+",1096,4326146,25.33
,"Chlamydia","274","1999","1999","Hispanic","Hispanic","Female","F","Unknown","99",476,Not Applicable,Not Applicable
,"Chlamydia","274","1999","1999","Hispanic","Hispanic","Male","M","0-14 years","0-14",200,5074922,3.94
,"Chlamydia","274","1999","1999","Hispanic","Hispanic","Male","M","15-19 years","15-19",4327,1599616,270.50
,"Chlamydia","274","1999","1999","Hispanic","Hispanic","Male","M","20-24 years","20-24",5861,1739412,336.95
,"Chlamydia","274","1999","1999","Hispanic","Hispanic","Male","M","25-29 years","25-29",3000,1724359,173.98
,"Chlamydia","274","1999","1999","Hispanic","Hispanic","Male","M","30-34 years","30-34",1355,1591603,85.13
,"Chlamydia","274","1999","1999","Hispanic","Hispanic","Male","M","35-39 years","35-39",620,1388069,44.67
,"Chlamydia","274","1999","1999","Hispanic","Hispanic","Male","M","40+ years","40+",469,3963627,11.83
,"Chlamydia","274","1999","1999","Hispanic","Hispanic","Male","M","Unknown","99",110,Not Applicable,Not Applicable
,"Chlamydia","274","1999","1999","Hispanic","Hispanic","Unknown","U","15-19 years","15-19",15,Not Applicable,Not Applicable
,"Chlamydia","274","1999","1999","Hispanic","Hispanic","Unknown","U","20-24 years","20-24",9,Not Applicable,Not Applicable
,"Chlamydia","274","1999","1999","Hispanic","Hispanic","Unknown","U","25-29 years","25-29",3,Not Applicable,Not Applicable
,"Chlamydia","274","1999","1999","Hispanic","Hispanic","Unknown","U","30-34 years","30-34",2,Not Applicable,Not Applicable
,"Chlamydia","274","1999","1999","Hispanic","Hispanic","Unknown","U","Unknown","99",1,Not Applicable,Not Applicable
,"Chlamydia","274","1999","1999","White","2106-3","Female","F","0-14 years","0-14",2663,17380148,15.32
,"Chlamydia","274","1999","1999","White","2106-3","Female","F","15-19 years","15-19",52577,6056689,868.08
,"Chlamydia","274","1999","1999","White","2106-3","Female","F","20-24 years","20-24",40100,5526995,725.53
,"Chlamydia","274","1999","1999","White","2106-3","Female","F","25-29 years","25-29",11651,5964719,195.33
,"Chlamydia","274","1999","1999","White","2106-3","Female","F","30-34 years","30-34",3768,6521992,57.77
,"Chlamydia","274","1999","1999","White","2106-3","Female","F","35-39 years","35-39",1831,7685632,23.82
,"Chlamydia","274","1999","1999","White","2106-3","Female","F","40+ years","40+",1249,46900826,2.66
,"Chlamydia","274","1999","1999","White","2106-3","Female","F","Unknown","99",820,Not Applicable,Not Applicable
,"Chlamydia","274","1999","1999","White","2106-3","Male","M","0-14 years","0-14",192,18350521,1.05
,"Chlamydia","274","1999","1999","White","2106-3","Male","M","15-19 years","15-19",5257,6353025,82.75
,"Chlamydia","274","1999","1999","White","2106-3","Male","M","20-24 years","20-24",8813,5672497,155.36
,"Chlamydia","274","1999","1999","White","2106-3","Male","M","25-29 years","25-29",3816,6051235,63.06
,"Chlamydia","274","1999","1999","White","2106-3","Male","M","30-34 years","30-34",1752,6618256,26.47
,"Chlamydia","274","1999","1999","White","2106-3","Male","M","35-39 years","35-39",1074,7724559,13.90
,"Chlamydia","274","1999","1999","White","2106-3","Male","M","40+ years","40+",1137,41286725,2.75
,"Chlamydia","274","1999","1999","White","2106-3","Male","M","Unknown","99",168,Not Applicable,Not Applicable
,"Chlamydia","274","1999","1999","White","2106-3","Unknown","U","0-14 years","0-14",1,Not Applicable,Not Applicable
,"Chlamydia","274","1999","1999","White","2106-3","Unknown","U","15-19 years","15-19",11,Not Applicable,Not Applicable
,"Chlamydia","274","1999","1999","White","2106-3","Unknown","U","20-24 years","20-24",14,Not Applicable,Not Applicable
,"Chlamydia","274","1999","1999","White","2106-3","Unknown","U","25-29 years","25-29",3,Not Applicable,Not Applicable
,"Chlamydia","274","1999","1999","White","2106-3","Unknown","U","30-34 years","30-34",4,Not Applicable,Not Applicable
,"Chlamydia","274","1999","1999","White","2106-3","Unknown","U","Unknown","99",2,Not Applicable,Not Applicable
